Scheme,Eligibility,Documents,Benefits,State
PM Awas Yojana,Low income families,Aadhaar Card;Income Certificate,Affordable housing,All States
Ayushman Bharat,Low income families,Aadhaar Card;Ration Card,Free health insurance,All States
National Scholarship Scheme,Students with good marks,Student ID;Marksheet,Financial support for education,All States
Central Sector Scholarship,Meritorious students from low income families,Aadhaar Card;Marksheet;Income Certificate,Financial support for higher education,All States
Post Matric Scholarship SC/ST,SC/ST students,Aadhaar Card;Caste Certificate;Income Certificate;Marksheet,Financial assistance for studies,All States
National Means Cum Merit Scholarship,Economically weaker students,Aadhaar Card;Income Certificate;Marksheet,Scholarship for school education,All States
AICTE Pragati Scholarship,Girl students in technical education,Aadhaar Card;Admission Proof;Bank Details,Financial support for girls in engineering,All States
AICTE Saksham Scholarship,Students with disabilities,Aadhaar Card;Disability Certificate;Admission Proof,Support for technical education,All States
INSPIRE Scholarship,Top science students,Aadhaar Card;Marksheet;Bank Details,Scholarship for science studies,All States
KVPY Scholarship,Students interested in research,Aadhaar Card;Marksheet;Entrance Exam Score,Monthly fellowship,All States
PM Kisan Yojana,Farmers with land records,Aadhaar Card;Land Documents,Income support for farmers,All States
Startup India Scheme,Entrepreneurs,Aadhaar Card;Business Plan,Funding and startup support,All States
Ujjwala Yojana,BPL women,Aadhaar Card;Ration Card,Free LPG connection,All States
MGNREGA,Rural households,Aadhaar Card;Job Card,100 days wage employment,All States
Swachh Bharat Mission,All citizens,Aadhaar Card,Sanitation facilities,All States
Stand Up India,SC/ST/Women entrepreneurs,Aadhaar Card;Bank Details,Loan support,All States
PM Fasal Bima Yojana,Farmers,Aadhaar Card;Land Records,Crop insurance,All States
Tamil Nadu Free Laptop Scheme,Students in TN,School ID;Marksheet,Free laptop,Tamil Nadu
Kalaignar Health Insurance,TN residents,Aadhaar Card;Ration Card,Free medical treatment,Tamil Nadu
Karnataka Raitha Siri Scheme,Farmers in Karnataka,Aadhaar Card;Land Proof,Financial support,Karnataka
Gruha Lakshmi Scheme,Women in Karnataka,Aadhaar Card;Bank Details,Monthly income support,Karnataka
Karnataka Vidyasiri Scholarship,Students in Karnataka,Aadhaar Card;Income Certificate;College ID,Food and accommodation support,Karnataka
Telangana Rythu Bandhu,Farmers in Telangana,Aadhaar Card;Land Records,Investment support,Telangana
Aarogyasri Scheme,Low income families,Aadhaar Card;Ration Card,Health insurance,Telangana
Telangana ePASS Scholarship,Students in Telangana,Aadhaar Card;Caste Certificate;Income Certificate,Fee reimbursement,Telangana
Delhi Scholarship Scheme,Students in Delhi,Student ID;Marksheet,Financial aid,Delhi
Ladli Scheme,Girl child families,Aadhaar Card;Birth Certificate,Financial support,Delhi
Maharashtra Farmer Scheme,Farmers,Aadhaar Card;Land Records,Subsidy support,Maharashtra
Punjab Shagun Scheme,Women marriage support,Aadhaar Card;Income Certificate,Financial assistance,Punjab
